"Date_UTC","dbn_nez","dbn_geo","dbe_nez","dbe_geo","dbz_nez","dbz_geo"
"2001-01-01T00:00:00",3.9,4,0.5,0.4,0.2,0.2
"2001-01-01T01:00:00",2.5,2.5,0.4,0.3,0.6,0.6
"2001-01-01T02:00:00",3.3,3.3,0.9,0.8,0.7,0.7
"2001-01-01T03:00:00",2.8,2.8,-0.6,-0.7,0.8,0.8
"2001-01-01T04:00:00",2.5,2.5,-1.1,-1.2,0.8,0.8
"2001-01-01T05:00:00",2.7,2.7,-0.1,-0.2,0.7,0.7
"2001-01-01T06:00:00",4.2,4.2,-1.6,-1.7,1.7,1.7
"2001-01-01T07:00:00",4.8,4.8,0.5,0.3,2.1,2.1
"2001-01-01T08:00:00",5.7,5.7,0.7,0.5,2.8,2.8
"2001-01-01T09:00:00",4.5,4.7,5.8,5.6,5.8,5.8
"2001-01-01T10:00:00",-0.6,-0.3,9.1,9.1,2.6,2.6
"2001-01-01T11:00:00",-1.8,-1.7,3,3,2.9,2.9
"2001-01-01T12:00:00",-1.5,-1.5,-0.1,-0.1,-1.4,-1.4
"2001-01-01T13:00:00",1.2,1.1,-5,-5,-2.9,-2.9
"2001-01-01T14:00:00",3.4,3.3,-3.8,-3.9,-3.9,-3.9
"2001-01-01T15:00:00",3.1,3,-1.7,-1.8,-3.6,-3.6
"2001-01-01T16:00:00",3,3,0.9,0.9,-0.9,-0.9
"2001-01-01T17:00:00",4,4.1,3.3,3.2,1.1,1.1
"2001-01-01T18:00:00",6.4,6.5,2.2,2,-0.2,-0.2
"2001-01-01T19:00:00",3.1,3.1,0.6,0.5,-0.3,-0.3
"2001-01-01T20:00:00",-2.1,-2,3,3,0.5,0.5
"2001-01-01T21:00:00",1.6,1.6,1.1,1.1,0.5,0.5
"2001-01-01T22:00:00",2.8,2.8,-0.5,-0.6,-0.5,-0.5
"2001-01-01T23:00:00",1.2,1.2,0.9,0.9,-0.4,-0.4
"2001-01-02T00:00:00",1.4,1.5,4.6,4.5,-1,-1
"2001-01-02T01:00:00",3.9,3.8,-1.5,-1.6,-1.6,-1.6
"2001-01-02T02:00:00",5.6,5.5,-3,-3.2,-1.4,-1.4
"2001-01-02T03:00:00",12,11.9,-4.3,-4.7,-1.3,-1.3
"2001-01-02T04:00:00",10.3,10.3,-2,-2.3,-1.2,-1.2
"2001-01-02T05:00:00",7.3,7.3,-1.1,-1.3,-1.2,-1.2
"2001-01-02T06:00:00",7.8,7.8,-1.6,-1.8,-0.2,-0.2
"2001-01-02T07:00:00",8.9,8.9,0.5,0.3,-0.9,-0.9
"2001-01-02T08:00:00",10.1,10.1,2.4,2.1,-1.3,-1.3
"2001-01-02T09:00:00",10.9,11.2,10.8,10.5,-0.6,-0.6
"2001-01-02T10:00:00",4.7,5.1,12.3,12.2,-8.1,-8.1
"2001-01-02T11:00:00",2.5,2.6,4.2,4.1,-7.9,-7.9
"2001-01-02T12:00:00",5.4,5.4,1,0.9,-3.3,-3.3
"2001-01-02T13:00:00",4.9,4.9,1.4,1.2,-0.8,-0.8
"2001-01-02T14:00:00",5.6,5.7,3.2,3,1.1,1.1
"2001-01-02T15:00:00",8.1,8.2,2.2,1.9,-1.3,-1.3
"2001-01-02T16:00:00",8.1,8.1,1.6,1.4,-0.3,-0.3
"2001-01-02T17:00:00",8.2,8.3,0.8,0.5,-0.9,-0.9
"2001-01-02T18:00:00",6.7,6.7,-0.3,-0.5,-2.1,-2.1
"2001-01-02T19:00:00",8.3,8.3,-0.6,-0.9,-2.2,-2.2
"2001-01-02T20:00:00",10.1,10.1,-1,-1.3,-2.5,-2.5
"2001-01-02T21:00:00",9.7,9.6,-1,-1.3,-2.7,-2.7
"2001-01-02T22:00:00",5,4.9,-2.1,-2.3,-1.9,-1.9
"2001-01-02T23:00:00",1.2,1.5,10.2,10.1,-0.7,-0.7
"2001-01-03T00:00:00",6.7,6.7,0.2,0,-1.3,-1.3
"2001-01-03T01:00:00",15.2,15,-6.8,-7.3,-1.7,-1.7
"2001-01-03T02:00:00",2.8,2.9,3,2.9,-1.5,-1.5
"2001-01-03T03:00:00",-0.2,0,4.1,4.1,-1.4,-1.4
"2001-01-03T04:00:00",-2.9,-3,-1.7,-1.6,-1.2,-1.2
"2001-01-03T05:00:00",11,11.1,5.7,5.4,-3,-3
"2001-01-03T06:00:00",9.3,9.3,3.2,2.9,-1.9,-1.9
"2001-01-03T07:00:00",3.6,3.5,-5.8,-5.9,-0.7,-0.7
"2001-01-03T08:00:00",-8.1,-8,4.5,4.8,0.7,0.7
"2001-01-03T09:00:00",-10.4,-10.1,8.5,8.8,1.4,1.4
"2001-01-03T10:00:00",-11.2,-11,6.6,6.9,2.8,2.8
"2001-01-03T11:00:00",-13.1,-13,3.5,3.9,3.7,3.7
"2001-01-03T12:00:00",-10.1,-10.2,-5.8,-5.5,0.9,0.9
"2001-01-03T13:00:00",-13.5,-13.5,0.6,1,0.1,0.1
"2001-01-03T14:00:00",-1.8,-1.8,-0.4,-0.4,4.2,4.2
"2001-01-03T15:00:00",-1.6,-1.6,1.3,1.4,0.2,0.2
"2001-01-03T16:00:00",-5.5,-5.5,0.5,0.6,0.6,0.6
"2001-01-03T17:00:00",-6.5,-6.5,0.4,0.6,1.1,1.1
"2001-01-03T18:00:00",-2.1,-2.1,0.6,0.7,1,1
"2001-01-03T19:00:00",0.4,0.5,3.1,3.1,1,1
"2001-01-03T20:00:00",-1,-1,2.4,2.4,0.5,0.5
"2001-01-03T21:00:00",-0.7,-0.6,3.3,3.3,1.1,1.1
"2001-01-03T22:00:00",-3.3,-3.1,5,5.1,0.8,0.8
"2001-01-03T23:00:00",-0.6,-0.4,4.5,4.5,0.9,0.9
"2001-01-04T00:00:00",-3.5,-3.4,3.4,3.5,1.4,1.4
"2001-01-04T01:00:00",7.4,7.1,-7.7,-7.9,1,1
"2001-01-04T02:00:00",13,13.3,9.4,9,-2.7,-2.7
"2001-01-04T03:00:00",1,1.1,3,2.9,-2.6,-2.6
"2001-01-04T04:00:00",-3.9,-3.9,-1,-0.9,-0.2,-0.2
"2001-01-04T05:00:00",0.3,0.4,3,3,0.2,0.2
"2001-01-04T06:00:00",5.3,5.4,3.8,3.6,1.3,1.3
"2001-01-04T07:00:00",4.3,4.3,2.1,2,1.6,1.6
