"Date_UTC","dbn_nez","dbn_geo","dbe_nez","dbe_geo","dbz_nez","dbz_geo"
"2001-01-01T00:00:00",-13.7,-13,0.9,4.2,3.9,3.9
"2001-01-01T01:00:00",-15.5,-15,0.1,4,3.7,3.7
"2001-01-01T02:00:00",-17.9,-17.2,0.6,5,3.4,3.4
"2001-01-01T03:00:00",-19.3,-17.9,3,7.7,2.9,2.9
"2001-01-01T04:00:00",-20.1,-19.4,0.2,5.2,3.6,3.6
"2001-01-01T05:00:00",-21.2,-21.1,-2.5,2.8,4.2,4.2
"2001-01-01T06:00:00",-22.1,-22,-2.3,3.3,4.8,4.8
"2001-01-01T07:00:00",-20.1,-20.9,-5.7,-0.5,0.7,0.7
"2001-01-01T08:00:00",-20.6,-20.7,-2.8,2.4,5.7,5.7
"2001-01-01T09:00:00",-17.3,-16.4,1.5,5.8,4.5,4.5
"2001-01-01T10:00:00",-15.2,-14.8,-0.3,3.5,3.9,3.9
"2001-01-01T11:00:00",-16.5,-16.4,-1.7,2.5,3.6,3.6
"2001-01-01T12:00:00",-10.9,-11.7,-4.5,-1.7,3.5,3.5
"2001-01-01T13:00:00",-11.7,-10.9,1.5,4.4,4.3,4.3
"2001-01-01T14:00:00",-11.7,-9,9.5,12.1,5.1,5.1
"2001-01-01T15:00:00",-12.8,-11,5.7,8.7,0.4,0.4
"2001-01-01T16:00:00",-11.1,-10.6,0.8,3.5,0.8,0.8
"2001-01-01T17:00:00",-15.2,-14.7,-0.1,3.7,7.4,7.4
"2001-01-01T18:00:00",-7.9,-7.6,0.3,2.2,9.1,9.1
"2001-01-01T19:00:00",-6.2,-6.3,-1.2,0.4,6.7,6.7
"2001-01-01T20:00:00",-6.3,-5.5,2.5,4,3.7,3.7
"2001-01-01T21:00:00",-7.1,-6.2,2.7,4.4,0.8,0.8
"2001-01-01T22:00:00",-10.8,-9.3,4.5,7.1,0.7,0.7
"2001-01-01T23:00:00",-10.6,-8.9,5.2,7.7,0.6,0.6
"2001-01-02T00:00:00",-13.8,-12.7,2.8,6.2,0.1,0.1
"2001-01-02T01:00:00",-11.5,-10.1,4.1,6.8,0,0
"2001-01-02T02:00:00",-12.2,-11.6,1.1,4.1,0.3,0.3
"2001-01-02T03:00:00",-9.3,-8.7,0.9,3.2,-0.7,-0.7
"2001-01-02T04:00:00",-10,-9.7,-0.2,2.3,0.3,0.3
"2001-01-02T05:00:00",-9.4,-9.2,-0.6,1.8,0.3,0.3
"2001-01-02T06:00:00",-7.6,-7.8,-2,0,0.7,0.7
"2001-01-02T07:00:00",-8.1,-8.2,-1.8,0.3,0.7,0.7
"2001-01-02T08:00:00",-7.4,-7.7,-2.4,-0.4,0.9,0.9
"2001-01-02T09:00:00",-7.6,-8.3,-3.5,-1.5,0.8,0.8
"2001-01-02T10:00:00",-7.3,-7.4,-1.5,0.4,0.3,0.3
"2001-01-02T11:00:00",-9,-9,-1.2,1.1,0,0
"2001-01-02T12:00:00",-11.4,-11.5,-1.8,1.1,0,0
"2001-01-02T13:00:00",-12.9,-12.6,-0.7,2.6,-0.3,-0.3
"2001-01-02T14:00:00",-7.8,-7.8,-0.9,1,-0.4,-0.4
"2001-01-02T15:00:00",-3.3,-3.4,-0.8,0,-2.7,-2.7
"2001-01-02T16:00:00",-5.1,-5.1,-0.5,0.7,-1.6,-1.6
"2001-01-02T17:00:00",-10.8,-10.3,0.6,3.3,-3.9,-3.9
"2001-01-02T18:00:00",-13.9,-13.3,0.6,4.1,-8.5,-8.5
"2001-01-02T19:00:00",-12.3,-11.5,1.7,4.7,-5.4,-5.4
"2001-01-02T20:00:00",-9.2,-9.1,-0.7,1.6,-4.1,-4.1
"2001-01-02T21:00:00",-3.9,-3.5,0.9,1.9,-2.8,-2.8
"2001-01-02T22:00:00",-4.6,-5,-2.2,-1,-0.9,-0.9
"2001-01-02T23:00:00",-11.2,-11.8,-3.7,-0.8,-1.4,-1.4
"2001-01-03T00:00:00",-2.8,-2.3,1.3,2,-2.6,-2.6
"2001-01-03T01:00:00",5.5,4.9,-1.6,-3,-2.9,-2.9
"2001-01-03T02:00:00",-15.4,-14.6,1.1,4.9,-2.8,-2.8
"2001-01-03T03:00:00",-16.9,-14.3,8.6,12.5,-6.3,-6.3
"2001-01-03T04:00:00",-35.1,-32,8.1,16.6,-2.7,-2.7
"2001-01-03T05:00:00",-45.6,-38.4,23.2,33.8,4.3,4.3
"2001-01-03T06:00:00",-48.5,-44,12.2,23.9,4,4
"2001-01-03T07:00:00",-30.5,-26.9,10.8,18.1,6.4,6.4
"2001-01-03T08:00:00",-26.1,-24.7,2.3,8.7,9.7,9.7
"2001-01-03T09:00:00",-22,-19.9,5.6,10.9,9.4,9.4
"2001-01-03T10:00:00",-14.9,-12.1,9.6,13,5.1,5.1
"2001-01-03T11:00:00",-17.9,-17.1,1,5.4,3.6,3.6
"2001-01-03T12:00:00",-21.1,-23.7,-13.1,-7.4,2.9,2.9
"2001-01-03T13:00:00",-13.6,-13,0.7,4.1,3.2,3.2
"2001-01-03T14:00:00",-12.2,-9.5,9.4,12.2,3.1,3.1
"2001-01-03T15:00:00",-11.9,-10.3,5.3,8.1,2.7,2.7
"2001-01-03T16:00:00",-19.6,-18.5,1.8,6.6,2.8,2.8
"2001-01-03T17:00:00",-31.9,-29.7,4.8,12.6,4.2,4.2
"2001-01-03T18:00:00",-25.6,-24.3,2.1,8.4,0.7,0.7
"2001-01-03T19:00:00",-21.6,-21,-0.5,4.9,1.9,1.9
"2001-01-03T20:00:00",-18.5,-18.4,-1.9,2.8,5.3,5.3
"2001-01-03T21:00:00",-11.7,-11.4,-0.3,2.6,5,5
"2001-01-03T22:00:00",-14.3,-13.2,2.7,6.2,3.3,3.3
"2001-01-03T23:00:00",-13.7,-13.3,0,3.4,2.8,2.8
"2001-01-04T00:00:00",-20.3,-20,-1.4,3.6,2.3,2.3
"2001-01-04T01:00:00",-20.3,-19.1,2,6.9,1.6,1.6
"2001-01-04T02:00:00",-26.3,-25.6,-0.8,5.8,4.2,4.2
"2001-01-04T03:00:00",-26.6,-26.6,-3.3,3.4,4.6,4.6
"2001-01-04T04:00:00",-20.1,-19.5,-0.2,4.8,3.4,3.4
"2001-01-04T05:00:00",-16.5,-16.2,-1,3.1,2.5,2.5
"2001-01-04T06:00:00",-16.6,-15.3,3,7,0.6,0.6
"2001-01-04T07:00:00",-19,-19.1,-2.9,1.9,0.7,0.7
"2001-01-04T08:00:00",-12.7,-10.7,6.3,9.3,-9.4,-9.4
"2001-01-04T09:00:00",-9.7,-6.2,12.6,14.6,-2.1,-2.1
"2001-01-04T10:00:00",-4.6,-1.3,12.8,13.5,-4.1,-4.1
"2001-01-04T11:00:00",-5.1,-5.3,-1.3,0,0.5,0.5
"2001-01-04T12:00:00",-0.7,-0.1,2.3,2.4,-0.3,-0.3
"2001-01-04T13:00:00",-5.6,-4.3,4.7,5.9,0.2,0.2
"2001-01-04T14:00:00",-14.1,-14.5,-3.5,0.1,2.1,2.1
"2001-01-04T15:00:00",-17.9,-16.6,2.9,7.3,-4.7,-4.7
"2001-01-04T16:00:00",-13.6,-14.6,-6.1,-2.5,1.9,1.9
"2001-01-04T17:00:00",-21.8,-21.5,-1.5,4,-2.9,-2.9
"2001-01-04T18:00:00",-28.9,-26.9,4.6,11.6,-5.8,-5.8
"2001-01-04T19:00:00",-10.1,-10.9,-4.4,-1.8,-2.6,-2.6
"2001-01-04T20:00:00",-17.3,-17.2,-1.7,2.6,-0.1,-0.1
"2001-01-04T21:00:00",-12.9,-12.7,-1,2.3,1.1,1.1
"2001-01-04T22:00:00",-15.8,-15.2,0.5,4.4,2.4,2.4
"2001-01-04T23:00:00",-12,-12.5,-3.5,-0.4,1.6,1.6
"2001-01-05T00:00:00",-9.8,-10.1,-2.6,-0.1,1.6,1.6
"2001-01-05T01:00:00",-7.9,-8.7,-4.2,-2.1,1.8,1.8
"2001-01-05T02:00:00",-7.9,-9.3,-6.6,-4.4,0.7,0.7
"2001-01-05T03:00:00",-8.4,-8.9,-3.1,-0.9,0.2,0.2
"2001-01-05T04:00:00",-10,-11.9,-8.7,-6,0.9,0.9
"2001-01-05T05:00:00",-9.7,-9.3,0.5,2.9,0.3,0.3
"2001-01-05T06:00:00",-12.8,-12.4,0,3.2,0.6,0.6
"2001-01-05T07:00:00",-12.4,-11.1,3.9,6.9,0.8,0.8
"2001-01-05T08:00:00",-9.1,-8.9,-0.3,2,0.1,0.1
"2001-01-05T09:00:00",-11.2,-10.6,1,3.8,0.3,0.3
"2001-01-05T10:00:00",-11.5,-11,0.7,3.5,1.5,1.5
"2001-01-05T11:00:00",-13.3,-13.1,-0.6,2.8,1.5,1.5
"2001-01-05T12:00:00",-14.2,-14.2,-1.9,1.7,1.8,1.8
"2001-01-05T13:00:00",-16.6,-16.5,-1.7,2.5,1.7,1.7
"2001-01-05T14:00:00",-16.4,-15.2,2.7,6.7,-0.5,-0.5
"2001-01-05T15:00:00",-19.8,-18.7,1.9,6.8,-2,-2
"2001-01-05T16:00:00",-28.8,-29,-4.3,3,-6,-6
"2001-01-05T17:00:00",-35.2,-36.4,-9.4,-0.3,-1.5,-1.5
"2001-01-05T18:00:00",-31.1,-33.9,-15.2,-6.9,3,3
"2001-01-05T19:00:00",-23.5,-26.6,-15.4,-9.1,4.9,4.9
"2001-01-05T20:00:00",-11.4,-12.5,-5.7,-2.7,4.6,4.6
"2001-01-05T21:00:00",-10.8,-12.3,-7.4,-4.5,1.6,1.6
"2001-01-05T22:00:00",-10.9,-12.9,-9.5,-6.5,3.7,3.7
"2001-01-05T23:00:00",-28.1,-29.4,-8.5,-1.2,7.4,7.4
"2001-01-06T00:00:00",-20.6,-22.4,-9.5,-4.1,7.8,7.8
"2001-01-06T01:00:00",-13.8,-12.9,2.1,5.4,5.8,5.8
"2001-01-06T02:00:00",-9.8,-9.1,1.9,4.3,2.9,2.9
"2001-01-06T03:00:00",-12.2,-11.9,-0.2,2.9,2.4,2.4
"2001-01-06T04:00:00",-2.7,-2.2,1.8,2.4,0.6,0.6
"2001-01-06T05:00:00",-5.3,-5.6,-1.9,-0.6,0.3,0.3
"2001-01-06T06:00:00",-3.8,-4.8,-4.4,-3.3,-0.3,-0.3
