"Date_UTC","Extent","IAGA","GEOLON","GEOLAT","MAGON","MAGLAT","MLT","MCOLAT","IGRF_DECL","SZA","dbn_nez","dbe_nez","dbz_nez","dbn_geo","dbe_geo","dbz_geo"
"2002-01-01T00:00:00",60,"CLK",285,44.7,2.04,55.04,18.97,34.96,-14.35,115.81,-6.3,4.8,22.4,-4.9,6.2,22.4
"2002-01-01T01:00:00",60,"CLK",285,44.7,2.04,55.04,20,34.96,-14.35,126.44,-7.6,4.1,16.1,-6.3,5.9,16.1
"2002-01-01T02:00:00",60,"CLK",285,44.7,2.04,55.04,21.08,34.96,-14.35,136.96,-6.8,-1,16.3,-6.9,0.7,16.3
"2002-01-01T03:00:00",60,"CLK",285,44.7,2.04,55.04,22.19,34.96,-14.35,146.8,-16.3,3,19.3,-15,7,19.3
"2002-01-01T04:00:00",60,"CLK",285,44.7,2.04,55.04,23.27,34.96,-14.35,154.74,-24.6,7.7,19.4,-21.9,13.5,19.4
"2002-01-01T05:00:00",60,"CLK",285,44.7,2.04,55.04,0.37,34.96,-14.35,158.3,-24.1,3.3,22.5,-22.6,9.2,22.5
"2002-01-01T06:00:00",60,"CLK",285,44.7,2.04,55.04,1.49,34.96,-14.35,155.42,-13.6,7.7,18.3,-11.3,10.9,18.3
"2002-01-01T07:00:00",60,"CLK",285,44.7,2.04,55.04,2.59,34.96,-14.35,147.82,-9.9,7.2,15.6,-7.7,9.5,15.6
"2002-01-01T08:00:00",60,"CLK",285,44.7,2.04,55.04,3.6,34.96,-14.35,138.11,-7.5,13.9,8.6,-3.8,15.3,8.6
"2002-01-01T09:00:00",60,"CLK",285,44.7,2.04,55.04,4.54,34.96,-14.35,127.63,-10.4,4.1,10.6,-9,6.5,10.6
"2002-01-01T10:00:00",60,"CLK",285,44.7,2.04,55.04,5.51,34.96,-14.35,116.99,-11.9,2,10.7,-11,4.9,10.7
