"Date_UTC","dbn_nez","dbn_geo","dbe_nez","dbe_geo","dbz_nez","dbz_geo"
"2001-01-01T00:00:00",2.4,2.4,0.4,-0.1,2,2
"2001-01-01T01:00:00",0.1,0.2,0.7,0.7,1.1,1.1
"2001-01-01T02:00:00",-2.9,-2.7,0.5,1,2.1,2.1
"2001-01-01T03:00:00",-4.3,-3.9,2.2,2.9,1.1,1.1
"2001-01-01T04:00:00",-6,-5.8,0.5,1.6,1.4,1.4
"2001-01-01T05:00:00",-6.4,-6.7,-2,-0.8,2.6,2.6
"2001-01-01T06:00:00",-6.8,-7,-1.9,-0.6,2.6,2.6
"2001-01-01T07:00:00",-2.5,-3.2,-3.8,-3.3,0.7,0.7
"2001-01-01T08:00:00",-5.3,-5.8,-2.9,-1.9,2.5,2.5
"2001-01-01T09:00:00",-3.2,-3.1,0.5,1.1,2.5,2.5
"2001-01-01T10:00:00",-0.9,-0.9,0.2,0.3,1.7,1.7
"2001-01-01T11:00:00",-1.6,-1.8,-1.3,-1,2.2,2.2
"2001-01-01T12:00:00",2.1,1.6,-2.6,-3,1.7,1.7
"2001-01-01T13:00:00",-0.3,0,1.9,1.9,3.9,3.9
"2001-01-01T14:00:00",-5.5,-3.9,8.5,9.4,4.5,4.5
"2001-01-01T15:00:00",-4.3,-2.1,12.1,12.7,5.8,5.8
"2001-01-01T16:00:00",-3.4,-2.2,6.4,6.9,4.4,4.4
"2001-01-01T17:00:00",-12.3,-11.9,1.3,3.4,8.7,8.7
"2001-01-01T18:00:00",-8.7,-8.5,0.3,1.8,12.3,12.3
"2001-01-01T19:00:00",-3.6,-4.1,-2.9,-2.3,12.5,12.5
"2001-01-01T20:00:00",1.7,2.2,3.2,2.8,11.5,11.5
"2001-01-01T21:00:00",5.1,6.1,6.1,5.1,3.9,3.9
"2001-01-01T22:00:00",0.2,0.8,3.5,3.5,1.2,1.2
"2001-01-01T23:00:00",-1.3,-0.7,3.2,3.4,2.2,2.2
"2001-01-02T00:00:00",-1.5,-1.2,1.6,1.8,1.3,1.3
"2001-01-02T01:00:00",1.1,1.8,3.8,3.6,0.3,0.3
"2001-01-02T02:00:00",-0.2,0,1.3,1.3,1.3,1.3
"2001-01-02T03:00:00",3,3.3,1.7,1.2,1.4,1.4
"2001-01-02T04:00:00",1.3,1.5,1.3,1.1,0.6,0.6
"2001-01-02T05:00:00",1.9,2.1,1.2,0.9,0.8,0.8
"2001-01-02T06:00:00",4.7,4.6,0,-0.8,1,1
"2001-01-02T07:00:00",4.2,4.2,0,-0.7,1,1
"2001-01-02T08:00:00",4.6,4.5,-0.1,-1,0.9,0.9
"2001-01-02T09:00:00",4.7,4.4,-1.2,-2,0.9,0.9
"2001-01-02T10:00:00",5.2,5.3,0.9,-0.1,1.1,1.1
"2001-01-02T11:00:00",3.8,3.8,0.5,-0.2,1.4,1.4
"2001-01-02T12:00:00",1.1,1.1,0,-0.2,0.9,0.9
"2001-01-02T13:00:00",0.6,0.7,0.5,0.4,-0.6,-0.6
"2001-01-02T14:00:00",1.8,1.6,-0.5,-0.8,-0.9,-0.9
"2001-01-02T15:00:00",7.2,7.3,1.3,0,1,1
"2001-01-02T16:00:00",10.3,10.6,2.6,0.7,1.3,1.3
"2001-01-02T17:00:00",5.6,6.3,4.1,3.1,-2,-2
"2001-01-02T18:00:00",-3.2,-2.2,4.9,5.4,-6.1,-6.1
"2001-01-02T19:00:00",-3.5,-2.9,3.4,3.9,-4,-4
"2001-01-02T20:00:00",-0.5,0,3.3,3.3,-2.2,-2.2
"2001-01-02T21:00:00",5.3,5.7,2.8,1.9,-1.1,-1.1
"2001-01-02T22:00:00",5.6,5.5,0,-1,1,1
"2001-01-02T23:00:00",-0.7,-1.1,-2.6,-2.4,-0.7,-0.7
"2001-01-03T00:00:00",11.2,11.5,2.9,0.9,-1.5,-1.5
"2001-01-03T01:00:00",18.4,18.7,3.3,0,-3.4,-3.4
"2001-01-03T02:00:00",-3,-2.8,0.7,1.2,-0.4,-0.4
"2001-01-03T03:00:00",-6.8,-5.7,5.4,6.5,-0.3,-0.3
"2001-01-03T04:00:00",-28.5,-27.4,3.6,8.6,0.9,0.9
"2001-01-03T05:00:00",-43.8,-41.2,10.5,18.1,4.1,4.1
"2001-01-03T06:00:00",-39.8,-38.9,1.1,8.1,7.2,7.2
"2001-01-03T07:00:00",-26.6,-25.3,4.7,9.3,7.2,7.2
"2001-01-03T08:00:00",-18.8,-18.6,-0.3,3.1,7.1,7.1
"2001-01-03T09:00:00",-14.9,-14.2,2.5,5,7.2,7.2
"2001-01-03T10:00:00",-9.3,-8,7,8.5,6.4,6.4
"2001-01-03T11:00:00",-7.5,-7.2,1,2.3,5.6,5.6
"2001-01-03T12:00:00",-0.4,-2.4,-11.8,-11.5,4,4
"2001-01-03T13:00:00",-4.8,-4.6,0.7,1.5,5.7,5.7
"2001-01-03T14:00:00",-6.5,-5.6,4.6,5.7,6.5,6.5
"2001-01-03T15:00:00",-6.9,-5.1,9,10.1,5,5
"2001-01-03T16:00:00",-10.2,-9.5,2.7,4.4,6.2,6.2
"2001-01-03T17:00:00",-22.2,-21.5,1.7,5.6,4.2,4.2
"2001-01-03T18:00:00",-22.1,-21.7,0.4,4.3,4.3,4.3
"2001-01-03T19:00:00",-15.5,-15.1,0.9,3.7,3.2,3.2
"2001-01-03T20:00:00",-11.5,-11.4,-0.7,1.3,2.8,2.8
"2001-01-03T21:00:00",-5.4,-5.5,-0.6,0.3,4.6,4.6
"2001-01-03T22:00:00",-5.6,-5.2,2.1,3,3.7,3.7
"2001-01-03T23:00:00",-4.6,-4.4,0.9,1.7,2.3,2.3
"2001-01-04T00:00:00",-6.4,-6.5,-1.1,0,1.7,1.7
"2001-01-04T01:00:00",-5.6,-5.3,1.6,2.5,0.9,0.9
"2001-01-04T02:00:00",-13.4,-13.4,-1.1,1.3,2.9,2.9
"2001-01-04T03:00:00",-14.9,-15.2,-2.9,-0.2,1.9,1.9
"2001-01-04T04:00:00",-10.4,-10,0.9,2.8,2.1,2.1
"2001-01-04T05:00:00",-7.7,-7.4,0.8,2.2,2.3,2.3
"2001-01-04T06:00:00",-7.5,-7,2,3.3,2.4,2.4
"2001-01-04T07:00:00",-8.8,-8.9,-1.4,0.2,3.4,3.4
"2001-01-04T08:00:00",0.2,1.5,7.1,7,-0.6,-0.6
"2001-01-04T09:00:00",-1.7,0.1,10.1,10.2,1.5,1.5
"2001-01-04T10:00:00",4.1,6.2,12.5,11.5,0.7,0.7
"2001-01-04T11:00:00",5.1,5.4,2.7,1.7,1.9,1.9
"2001-01-04T12:00:00",10.3,11.2,6.2,4.2,0.3,0.3
"2001-01-04T13:00:00",4.5,5.8,7.6,6.7,1.2,1.2
"2001-01-04T14:00:00",-6.7,-6.5,0.6,1.8,3.1,3.1
"2001-01-04T15:00:00",-10.1,-8.5,8.3,9.9,2.5,2.5
"2001-01-04T16:00:00",-4.4,-4.3,0.5,1.3,1.7,1.7
"2001-01-04T17:00:00",-8.8,-8.8,-1,0.6,-0.3,-0.3
"2001-01-04T18:00:00",-19.7,-19.2,0.7,4.2,-0.3,-0.3
"2001-01-04T19:00:00",-2.2,-2.2,0.1,0.5,2.4,2.4
"2001-01-04T20:00:00",-5.5,-5.4,0.2,1.2,4.8,4.8
"2001-01-04T21:00:00",-3.9,-3.8,0.3,1,4.4,4.4
"2001-01-04T22:00:00",-7.5,-7.2,1.4,2.7,2.5,2.5
"2001-01-04T23:00:00",-4.4,-4.7,-1.9,-1,3.2,3.2
"2001-01-05T00:00:00",-0.6,-0.8,-1.1,-0.9,2.9,2.9
"2001-01-05T01:00:00",1.3,1.1,-1.2,-1.4,3.2,3.2
"2001-01-05T02:00:00",-0.2,-0.5,-1.2,-1.2,3.1,3.1
"2001-01-05T03:00:00",-2.1,-1.9,0.9,1.2,2.1,2.1
"2001-01-05T04:00:00",-1.1,-1.5,-2.5,-2.3,2.2,2.2
"2001-01-05T05:00:00",-3.5,-2.9,3.2,3.8,2.3,2.3
"2001-01-05T06:00:00",-7.3,-6.6,3,4.3,2.4,2.4
"2001-01-05T07:00:00",-7.5,-6.4,5.3,6.6,3.4,3.4
"2001-01-05T08:00:00",-4.4,-3.5,4.5,5.2,2.4,2.4
"2001-01-05T09:00:00",-4.9,-4.1,4.1,4.9,2.6,2.6
"2001-01-05T10:00:00",-5.8,-5.1,3.2,4.2,2.8,2.8
"2001-01-05T11:00:00",-6,-5.5,2.3,3.3,3.1,3.1
"2001-01-05T12:00:00",-5.8,-5.5,1.2,2.2,3.5,3.5
"2001-01-05T13:00:00",-7.4,-7,1.5,2.7,4.3,4.3
"2001-01-05T14:00:00",-12.1,-10.4,8.5,10.5,2.1,2.1
"2001-01-05T15:00:00",-15.4,-13.7,8.3,10.9,4.5,4.5
"2001-01-05T16:00:00",-16,-14.9,4.8,7.5,1.1,1.1
"2001-01-05T17:00:00",-23.4,-23.8,-4.3,-0.1,-1,-1
"2001-01-05T18:00:00",-24.2,-25.9,-11.5,-7,1.8,1.8
"2001-01-05T19:00:00",-21.4,-23.6,-14.4,-10.4,4.5,4.5
"2001-01-05T20:00:00",-9,-9.7,-5,-3.4,3.8,3.8
"2001-01-05T21:00:00",-1.9,-2.6,-4.3,-3.9,5.2,5.2
