"date_utc","extent","iaga","geolon","geolat","magon","maglat","mlt","mcolat","igrf_decl","sza","dbn_nez","dbe_nez","dbz_nez","dbn_geo","dbe_geo","dbz_geo"
"2001-01-01T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.27","36.37","-15.86","128.66","-9.0","-29.0","6.8","-16.6","-25.4","6.8"
"2001-01-02T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.27","36.37","-15.86","128.52","-8.3","-17.1","3.9","-12.7","-14.2","3.9"
"2001-01-03T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.26","36.37","-15.86","128.38","11.7","-13.2","-0.6","7.7","-15.9","-0.6"
"2001-01-04T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.25","36.37","-15.86","128.23","-13.3","-13.2","3.5","-16.4","-9.1","3.5"
"2001-01-05T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.25","36.37","-15.86","128.08","-3.6","-14.6","4.9","-7.5","-13.0","4.9"
"2001-01-06T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.24","36.37","-15.86","127.93","-12.6","-8.2","9.8","-14.4","-4.5","9.8"
"2001-01-07T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.23","36.37","-15.86","127.77","-8.2","-8.7","6.6","-10.3","-6.1","6.6"
"2001-01-08T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.23","36.37","-15.86","127.62","-0.8","-5.8","4.8","-2.4","-5.3","4.8"
"2001-01-09T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.22","36.37","-15.86","127.45","-4.9","-5.5","9.1","-6.2","-4.0","9.1"
"2001-01-10T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.22","36.37","-15.86","127.29","4.6","-3.7","0.6","3.5","-4.8","0.6"
"2001-01-11T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.21","36.37","-15.86","127.12","4.1","-3.7","-2.4","2.9","-4.7","-2.4"
"2001-01-12T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.21","36.37","-15.86","126.95","-4.2","-8.4","4.5","-6.3","-7.0","4.5"
"2001-01-13T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.20","36.37","-15.86","126.78","8.4","-7.9","-0.9","5.9","-9.9","-0.9"
"2001-01-14T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.20","36.37","-15.85","126.60","-3.9","-8.3","0.3","-6.0","-6.9","0.3"
"2001-01-15T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.20","36.37","-15.85","126.42","1.5","-7.3","2.2","-0.5","-7.4","2.2"
"2001-01-16T01:00:00",60,"GTF","288.05","43.62","6.17","53.63","20.19","36.37","-15.85","126.24","0.6","0.1","3.9","0.6","0.0","3.9"
"2001-01-17T01:00:00",60,"GTF","288.05","43.62","6.18","53.63","20.19","36.37","-15.85","126.06","-14.0","-5.1","6.2","-14.8","-1.1","6.2"
"2001-01-18T01:00:00",60,"GTF","288.05","43.62","6.18","53.63","20.19","36.37","-15.85","125.87","5.7","3.3","-1.0","6.4","1.6","-1.0"
"2001-01-19T01:00:00",60,"GTF","288.05","43.62","6.18","53.63","20.19","36.37","-15.85","125.68","2.8","4.5","1.2","3.9","3.6","1.2"
"2001-01-20T01:00:00",60,"GTF","288.05","43.62","6.18","53.63","20.18","36.37","-15.85","125.49","8.7","10.8","0.8","11.3","8.0","0.8"
